iter	Passed	Remaining
463	750	866
464	751	864
465	752	861
466	753	859
467	754	857
468	755	855
469	756	853
470	757	851
471	758	848
472	760	846
473	761	844
474	762	842
475	763	840
476	764	838
477	765	835
478	766	833
479	767	831
480	768	829
481	769	827
482	770	825
483	772	823
484	773	820
485	774	818
486	775	816
487	776	814
488	777	812
489	778	810
490	779	808
491	781	806
492	782	804
493	783	802
494	784	800
495	785	798
496	786	796
497	787	793
498	788	791
499	789	789
500	790	787
501	791	785
502	793	783
503	794	781
504	795	779
505	796	777
506	797	775
507	798	773
508	799	771
509	800	769
510	801	767
511	802	765
512	804	763
513	805	761
514	806	759
515	807	757
516	808	755
517	809	753
518	810	751
519	811	749
520	812	747
521	813	745
522	815	743
523	816	741
524	817	739
525	818	737
526	819	735
527	820	733
528	821	731
529	822	729
530	823	727
531	825	725
532	826	723
533	827	721
534	828	719
535	829	718
536	830	716
537	831	714
538	832	712
539	833	710
540	834	708
541	835	706
542	837	704
543	838	702
544	839	700
545	840	698
546	841	696
547	842	695
548	843	693
549	844	691
550	845	689
551	847	687
552	848	685
553	849	683
554	850	681
555	851	679
556	852	678
557	853	676
558	854	674
559	855	672
560	856	670
561	857	668
562	859	666
563	860	664
564	861	662
565	862	661
566	863	659
567	864	657
568	865	655
569	866	653
570	867	652
571	869	650
572	870	648
573	871	646
574	872	644
575	873	642
576	874	640
577	875	639
578	876	637
579	877	635
580	878	633
581	879	631
582	880	629
583	881	628
584	882	626
585	883	624
586	885	622
587	886	620
588	887	619
589	888	617
590	889	615
591	890	613
592	891	611
593	892	610
594	893	608
595	894	606
596	896	604
597	897	603
598	898	601
599	899	599
600	900	597
601	901	595
602	902	594
603	903	592
604	904	590
605	905	588
606	906	587
607	907	585
608	908	583
609	910	581
610	911	580
611	912	578
612	913	576
613	914	574
614	915	573
615	916	571
616	917	569
617	918	567
618	919	566
619	920	564
620	921	562
621	922	560
622	923	558
623	924	557
624	925	555
625	926	553
626	927	551
627	927	549
628	928	547
629	929	546
630	930	544
631	931	542
632	933	541
633	934	539
634	935	537
635	936	535
636	937	534
637	938	532
638	939	530
639	940	528
640	941	527
641	942	525
642	943	523
643	944	522
644	945	520
645	946	518
646	947	517
647	949	515
648	950	513
649	951	512
650	952	510
651	953	508
652	954	507
653	955	505
654	956	504
655	957	502
656	959	500
657	960	499
658	961	497
659	962	495
660	963	494
661	964	492
662	965	490
663	966	489
664	967	487
665	969	485
666	970	484
667	971	482
668	972	481
669	973	479
670	974	477
671	975	476
672	976	474
673	977	472
674	978	471
675	979	469
676	980	468
677	981	466
678	983	464
679	984	463
680	985	461
681	986	459
682	987	458
683	988	456
684	989	455
685	991	453
686	992	452
687	993	450
688	994	448
689	995	447
690	996	445
691	998	444
692	999	442
693	1000	441
694	1001	439
695	1002	437
696	1003	436
697	1004	434
698	1005	433
699	1006	431
700	1008	429
701	1009	428
702	1010	426
703	1011	425
704	1012	423
705	1013	422
706	1014	420
707	1016	419
708	1017	417
709	1018	415
710	1019	414
711	1020	412
712	1021	411
713	1022	409
714	1024	408
715	1025	406
716	1026	405
717	1027	403
718	1028	401
719	1029	400
720	1030	398
721	1031	397
722	1032	395
723	1033	394
724	1035	392
725	1036	391
726	1037	389
727	1038	387
728	1039	386
729	1040	384
730	1041	383
731	1042	381
732	1043	380
733	1044	378
734	1045	376
735	1046	375
736	1047	373
737	1049	372
738	1050	370
739	1051	369
740	1052	367
741	1053	366
742	1054	364
743	1055	363
744	1056	361
745	1058	360
746	1059	358
747	1060	357
748	1061	355
749	1062	354
750	1063	352
751	1064	351
752	1065	349
753	1066	348
754	1067	346
755	1068	344
756	1070	343
757	1071	341
758	1072	340
759	1073	338
760	1074	337
761	1075	335
762	1076	334
763	1077	332
764	1079	331
765	1080	329
766	1081	328
767	1082	326
768	1083	325
769	1084	323
770	1085	322
771	1086	320
772	1087	319
773	1088	317
774	1089	316
775	1090	314
776	1091	313
777	1093	311
778	1094	310
779	1095	308
780	1096	307
781	1097	306
782	1098	304
783	1100	303
784	1101	301
785	1102	300
786	1103	298
787	1104	297
788	1106	295
789	1107	294
790	1108	292
791	1109	291
792	1110	289
793	1111	288
794	1112	286
795	1113	285
796	1114	283
797	1116	282
798	1117	281
799	1118	279
800	1119	278
801	1120	276
802	1121	275
803	1122	273
804	1123	272
805	1125	270
806	1126	269
807	1127	267
808	1128	266
809	1129	264
810	1130	263
811	1131	261
812	1132	260
813	1133	259
814	1135	257
